🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

01. 1991-12-12T13:10 | meditate=false | fire=8.5 | peace=8.5 | stability=9 | growth=7.65 | avgFirePeace=8.50
02. 1991-12-10T13:10 | meditate=false | fire=8 | peace=7 | stability=9 | growth=8.00 | avgFirePeace=7.50
03. 1991-12-11T13:10 | meditate=false | fire=8 | peace=6 | stability=9 | growth=9.60 | avgFirePeace=7.00
04. 1990-06-08T13:10 | meditate=false | fire=7.5 | peace=9.5 | stability=9 | growth=4.75 | avgFirePeace=8.50
05. 1990-06-10T13:10 | meditate=false | fire=7.5 | peace=9.5 | stability=9 | growth=4.75 | avgFirePeace=8.50
06. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
07. 1990-09-19T13:10 | meditate=true | fire=7.5 | peace=5 | stability=6 | growth=10.50 | avgFirePeace=6.25
08. 1991-10-30T13:10 | meditate=false | fire=7.5 | peace=5 | stability=9 | growth=9.35 | avgFirePeace=6.25
09. 1988-02-10T13:10 | meditate=false | fire=7 | peace=5 | stability=9 | growth=8.80 | avgFirePeace=6.00
10. 1988-03-30T13:10 | meditate=true | fire=7 | peace=3.5 | stability=6 | growth=10.50 | avgFirePeace=5.25
11. 1990-06-11T13:10 | meditate=false | fire=7 | peace=7 | stability=9 | growth=7.20 | avgFirePeace=7.00
12. 1990-06-13T13:10 | meditate=true | fire=7 | peace=5 | stability=7 | growth=8.80 | avgFirePeace=6.00
13. 1990-09-02T13:10 | meditate=false | fire=7 | peace=4 | stability=9 | growth=9.80 | avgFirePeace=5.50
14. 1990-09-13T13:10 | meditate=false | fire=7 | peace=4 | stability=9 | growth=10.40 | avgFirePeace=5.50
15. 1990-09-16T13:10 | meditate=false | fire=7 | peace=3.5 | stability=8 | growth=11.20 | avgFirePeace=5.25
16. 1991-09-13T13:10 | meditate=false | fire=7 | peace=5 | stability=9 | growth=8.80 | avgFirePeace=6.00
17. 1991-09-23T13:10 | meditate=false | fire=7 | peace=2 | stability=7 | growth=11.20 | avgFirePeace=4.50
18. 1991-11-13T13:10 | meditate=false | fire=7 | peace=7.5 | stability=9 | growth=6.40 | avgFirePeace=7.25
19. 1991-12-09T13:10 | meditate=false | fire=7 | peace=6.5 | stability=8 | growth=7.70 | avgFirePeace=6.75
20. 1993-04-25T13:10 | meditate=true | fire=7 | peace=3 | stability=8 | growth=10.40 | avgFirePeace=5.00
21. 1993-07-05T13:10 | meditate=true | fire=7 | peace=3.5 | stability=7 | growth=10.50 | avgFirePeace=5.25
22. 1988-02-12T13:10 | meditate=false | fire=6.5 | peace=3 | stability=9 | growth=9.10 | avgFirePeace=4.75
23. 1988-04-28T13:10 | meditate=false | fire=6.5 | peace=8.5 | stability=7 | growth=5.95 | avgFirePeace=7.50
24. 1988-06-24T13:10 | meditate=false | fire=6.5 | peace=9 | stability=8 | growth=5.25 | avgFirePeace=7.75
25. 1989-11-10T13:10 | meditate=false | fire=6.5 | peace=11 | stability=9 | growth=3.90 | avgFirePeace=8.75
26. 1990-03-15T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=6 | growth=8.45 | avgFirePeace=5.50
27. 1990-06-07T13:10 | meditate=false | fire=6.5 | peace=7 | stability=7 | growth=6.80 | avgFirePeace=6.75
28. 1990-06-09T13:10 | meditate=false | fire=6.5 | peace=7.5 | stability=9 | growth=5.95 | avgFirePeace=7.00
29. 1990-06-17T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=7 | growth=9.00 | avgFirePeace=5.50
30. 1990-08-16T13:10 | meditate=false | fire=6.5 | peace=3.5 | stability=8 | growth=9.00 | avgFirePeace=5.00
31. 1990-09-01T13:10 | meditate=false | fire=6.5 | peace=1.5 | stability=8 | growth=12.00 | avgFirePeace=4.00
32. 1990-09-05T13:10 | meditate=false | fire=6.5 | peace=7.5 | stability=7 | growth=7.15 | avgFirePeace=7.00
33. 1990-09-28T13:10 | meditate=false | fire=6.5 | peace=0.5 | stability=8 | growth=11.05 | avgFirePeace=3.50
34. 1991-09-15T13:10 | meditate=false | fire=6.5 | peace=5.5 | stability=9 | growth=7.50 | avgFirePeace=6.00
35. 1991-09-24T13:10 | meditate=false | fire=6.5 | peace=0.5 | stability=7 | growth=11.05 | avgFirePeace=3.50
36. 1991-11-03T13:10 | meditate=false | fire=6.5 | peace=4 | stability=9 | growth=9.75 | avgFirePeace=5.25
37. 1991-11-10T13:10 | meditate=false | fire=6.5 | peace=3 | stability=8 | growth=9.75 | avgFirePeace=4.75
38. 1991-12-05T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=9 | growth=7.15 | avgFirePeace=6.50
39. 1991-12-06T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=9 | growth=7.15 | avgFirePeace=6.50
40. 1991-12-08T13:10 | meditate=false | fire=6.5 | peace=7 | stability=8 | growth=6.75 | avgFirePeace=6.75
41. 1991-12-15T13:10 | meditate=false | fire=6.5 | peace=5.5 | stability=7 | growth=8.45 | avgFirePeace=6.00
42. 1992-03-07T13:10 | meditate=false | fire=6.5 | peace=7 | stability=9 | growth=6.80 | avgFirePeace=6.75
43. 1992-03-23T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.25 | avgFirePeace=6.25
44. 1992-04-24T13:10 | meditate=true | fire=6.5 | peace=2 | stability=7 | growth=10.40 | avgFirePeace=4.25
45. 1992-06-08T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=8 | growth=7.15 | avgFirePeace=6.50
46. 1992-09-12T13:10 | meditate=false | fire=6.5 | peace=2.5 | stability=9 | growth=10.50 | avgFirePeace=4.50
