🧘‍♂️ Top 1276 all days (stability 5-8, sorted by avgFirePeace desc):

01. 1988-03-20T13:10 | meditate=true | fire=9.5 | peace=10 | stability=8 | growth=7.00 | avgFirePeace=9.75
02. 1988-04-03T13:10 | meditate=true | fire=8.5 | peace=11 | stability=8 | growth=6.65 | avgFirePeace=9.75
03. 1996-02-24T13:10 | meditate=true | fire=10 | peace=9 | stability=7 | growth=11.00 | avgFirePeace=9.50
04. 1988-03-28T13:10 | meditate=true | fire=7.5 | peace=11 | stability=7 | growth=5.70 | avgFirePeace=9.25
05. 1988-04-14T13:10 | meditate=false | fire=10.5 | peace=8 | stability=8 | growth=9.00 | avgFirePeace=9.25
06. 1996-03-18T13:10 | meditate=true | fire=9.5 | peace=8.5 | stability=8 | growth=9.00 | avgFirePeace=9.00
07. 1988-03-30T13:10 | meditate=true | fire=7 | peace=10.5 | stability=8 | growth=6.30 | avgFirePeace=8.75
08. 1988-04-15T13:10 | meditate=false | fire=10 | peace=7.5 | stability=8 | growth=10.00 | avgFirePeace=8.75
09. 1993-01-27T13:10 | meditate=false | fire=5 | peace=12.5 | stability=8 | growth=2.50 | avgFirePeace=8.75
10. 1996-02-29T13:10 | meditate=true | fire=8.5 | peace=9 | stability=8 | growth=7.00 | avgFirePeace=8.75
11. 1988-02-02T13:10 | meditate=true | fire=9.5 | peace=7.5 | stability=8 | growth=12.00 | avgFirePeace=8.50
12. 1988-07-10T13:10 | meditate=true | fire=8 | peace=9 | stability=7 | growth=8.10 | avgFirePeace=8.50
13. 1988-07-11T13:10 | meditate=true | fire=8 | peace=9 | stability=8 | growth=6.30 | avgFirePeace=8.50
14. 1989-07-16T13:10 | meditate=false | fire=10.5 | peace=6.5 | stability=8 | growth=11.00 | avgFirePeace=8.50
15. 1990-01-03T13:10 | meditate=false | fire=6 | peace=11 | stability=8 | growth=4.90 | avgFirePeace=8.50
16. 1993-09-08T13:10 | meditate=false | fire=6 | peace=11 | stability=8 | growth=4.80 | avgFirePeace=8.50
17. 1993-09-09T13:10 | meditate=false | fire=6 | peace=11 | stability=8 | growth=4.80 | avgFirePeace=8.50
18. 1996-01-08T13:10 | meditate=true | fire=6.5 | peace=10.5 | stability=7 | growth=5.70 | avgFirePeace=8.50
19. 1996-02-26T13:10 | meditate=true | fire=9.5 | peace=7.5 | stability=8 | growth=11.00 | avgFirePeace=8.50
20. 1996-02-27T13:10 | meditate=true | fire=9.5 | peace=7.5 | stability=8 | growth=11.00 | avgFirePeace=8.50
21. 1996-03-09T13:10 | meditate=true | fire=9 | peace=8 | stability=8 | growth=11.00 | avgFirePeace=8.50
22. 1988-03-19T13:10 | meditate=true | fire=8.5 | peace=8 | stability=8 | growth=8.00 | avgFirePeace=8.25
23. 1993-05-09T13:10 | meditate=false | fire=6 | peace=10.5 | stability=8 | growth=5.40 | avgFirePeace=8.25
24. 1993-06-08T13:10 | meditate=false | fire=5.5 | peace=11 | stability=8 | growth=4.40 | avgFirePeace=8.25
25. 1996-02-23T13:10 | meditate=true | fire=9 | peace=7.5 | stability=7 | growth=12.00 | avgFirePeace=8.25
26. 1988-03-18T13:10 | meditate=true | fire=8 | peace=8 | stability=8 | growth=7.00 | avgFirePeace=8.00
27. 1988-06-18T13:10 | meditate=true | fire=7.5 | peace=8.5 | stability=8 | growth=8.00 | avgFirePeace=8.00
28. 1992-10-05T13:10 | meditate=true | fire=7.5 | peace=8.5 | stability=8 | growth=8.55 | avgFirePeace=8.00
29. 1993-03-11T13:10 | meditate=true | fire=4.5 | peace=11.5 | stability=7 | growth=4.40 | avgFirePeace=8.00
30. 1996-02-21T13:10 | meditate=true | fire=8.5 | peace=7.5 | stability=8 | growth=11.05 | avgFirePeace=8.00
31. 1996-03-07T13:10 | meditate=true | fire=7.5 | peace=8.5 | stability=8 | growth=8.55 | avgFirePeace=8.00
32. 1996-03-20T13:10 | meditate=true | fire=9 | peace=7 | stability=8 | growth=11.00 | avgFirePeace=8.00
33. 1988-04-02T13:10 | meditate=true | fire=6 | peace=9.5 | stability=7 | growth=5.60 | avgFirePeace=7.75
34. 1988-04-04T13:10 | meditate=true | fire=6 | peace=9.5 | stability=7 | growth=5.60 | avgFirePeace=7.75
35. 1989-06-23T13:10 | meditate=true | fire=7.5 | peace=8 | stability=8 | growth=7.60 | avgFirePeace=7.75
36. 1989-12-04T13:10 | meditate=false | fire=7 | peace=8.5 | stability=8 | growth=8.10 | avgFirePeace=7.75
37. 1990-03-19T13:10 | meditate=true | fire=8 | peace=7.5 | stability=8 | growth=9.00 | avgFirePeace=7.75
38. 1990-06-14T13:10 | meditate=true | fire=8 | peace=7.5 | stability=8 | growth=9.00 | avgFirePeace=7.75
39. 1993-01-26T13:10 | meditate=false | fire=5 | peace=10.5 | stability=8 | growth=3.50 | avgFirePeace=7.75
40. 1993-03-15T13:10 | meditate=true | fire=5.5 | peace=10 | stability=7 | growth=5.50 | avgFirePeace=7.75
41. 1996-02-28T13:10 | meditate=true | fire=8 | peace=7.5 | stability=8 | growth=9.00 | avgFirePeace=7.75
42. 1996-03-21T13:10 | meditate=true | fire=8.5 | peace=7 | stability=8 | growth=10.00 | avgFirePeace=7.75
43. 1996-04-15T13:10 | meditate=true | fire=8 | peace=7.5 | stability=7 | growth=9.00 | avgFirePeace=7.75
44. 1998-02-05T13:10 | meditate=true | fire=9.5 | peace=6 | stability=7 | growth=13.00 | avgFirePeace=7.75
45. 1988-01-01T13:10 | meditate=true | fire=6.5 | peace=8.5 | stability=7 | growth=6.00 | avgFirePeace=7.50
46. 1988-03-31T13:10 | meditate=true | fire=6 | peace=9 | stability=7 | growth=6.40 | avgFirePeace=7.50
