🧘‍♂️ Top 647 all days (stability 5-8, sorted by avgFirePeace desc):

01. 1997-06-07T13:10 | meditate=false | fire=8.5 | peace=7.5 | stability=8 | growth=7.60 | avgFirePeace=8.00
02. 1988-06-24T13:10 | meditate=false | fire=6.5 | peace=9 | stability=8 | growth=5.25 | avgFirePeace=7.75
03. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
04. 1992-03-16T13:10 | meditate=true | fire=5.5 | peace=10 | stability=6 | growth=4.55 | avgFirePeace=7.75
05. 1988-04-28T13:10 | meditate=false | fire=6.5 | peace=8.5 | stability=7 | growth=5.95 | avgFirePeace=7.50
06. 1988-05-16T13:10 | meditate=false | fire=5 | peace=10 | stability=6 | growth=4.20 | avgFirePeace=7.50
07. 1988-05-19T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
08. 1989-11-16T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
09. 1988-05-20T13:10 | meditate=false | fire=5.5 | peace=9 | stability=8 | growth=4.55 | avgFirePeace=7.25
10. 1997-03-04T13:10 | meditate=false | fire=6 | peace=8.5 | stability=8 | growth=5.40 | avgFirePeace=7.25
11. 1988-05-15T13:10 | meditate=false | fire=6 | peace=8 | stability=7 | growth=6.30 | avgFirePeace=7.00
12. 1989-06-06T13:10 | meditate=false | fire=2.5 | peace=11.5 | stability=6 | growth=0.75 | avgFirePeace=7.00
13. 1989-06-07T13:10 | meditate=false | fire=2.5 | peace=11.5 | stability=7 | growth=0.75 | avgFirePeace=7.00
14. 1990-09-05T13:10 | meditate=false | fire=6.5 | peace=7.5 | stability=7 | growth=7.15 | avgFirePeace=7.00
15. 1997-06-06T13:10 | meditate=false | fire=7 | peace=7 | stability=8 | growth=5.60 | avgFirePeace=7.00
16. 1990-06-07T13:10 | meditate=false | fire=6.5 | peace=7 | stability=7 | growth=6.80 | avgFirePeace=6.75
17. 1991-12-08T13:10 | meditate=false | fire=6.5 | peace=7 | stability=8 | growth=6.75 | avgFirePeace=6.75
18. 1991-12-09T13:10 | meditate=false | fire=7 | peace=6.5 | stability=8 | growth=7.70 | avgFirePeace=6.75
19. 1992-03-15T13:10 | meditate=true | fire=5.5 | peace=8 | stability=6 | growth=6.00 | avgFirePeace=6.75
20. 1992-09-08T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
21. 1992-12-04T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
22. 1997-03-12T13:10 | meditate=false | fire=7 | peace=6.5 | stability=8 | growth=8.00 | avgFirePeace=6.75
23. 1998-02-12T13:10 | meditate=false | fire=6 | peace=7.5 | stability=8 | growth=7.00 | avgFirePeace=6.75
24. 1988-04-25T13:10 | meditate=false | fire=6 | peace=7 | stability=8 | growth=6.40 | avgFirePeace=6.50
25. 1988-05-17T13:10 | meditate=false | fire=4.5 | peace=8.5 | stability=7 | growth=4.40 | avgFirePeace=6.50
26. 1988-08-18T13:10 | meditate=false | fire=4 | peace=9 | stability=8 | growth=3.60 | avgFirePeace=6.50
27. 1988-08-29T13:10 | meditate=false | fire=5 | peace=8 | stability=7 | growth=5.40 | avgFirePeace=6.50
28. 1988-10-01T13:10 | meditate=true | fire=4 | peace=9 | stability=7 | growth=3.50 | avgFirePeace=6.50
29. 1989-06-10T13:10 | meditate=false | fire=3 | peace=10 | stability=8 | growth=2.00 | avgFirePeace=6.50
30. 1989-08-13T13:10 | meditate=false | fire=2.5 | peace=10.5 | stability=7 | growth=2.25 | avgFirePeace=6.50
31. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
32. 1992-06-08T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=8 | growth=7.15 | avgFirePeace=6.50
33. 1997-10-01T13:10 | meditate=false | fire=8.5 | peace=4.5 | stability=8 | growth=11.00 | avgFirePeace=6.50
34. 1998-03-17T13:10 | meditate=true | fire=7 | peace=6 | stability=7 | growth=7.00 | avgFirePeace=6.50
35. 1998-09-21T13:10 | meditate=false | fire=7 | peace=6 | stability=8 | growth=8.00 | avgFirePeace=6.50
36. 1998-11-07T13:10 | meditate=false | fire=5.5 | peace=7.5 | stability=7 | growth=6.50 | avgFirePeace=6.50
37. 1998-12-05T13:10 | meditate=true | fire=4.5 | peace=8.5 | stability=8 | growth=4.50 | avgFirePeace=6.50
38. 1988-06-23T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=5.50 | avgFirePeace=6.25
39. 1988-07-01T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=4.80 | avgFirePeace=6.25
40. 1988-08-20T13:10 | meditate=false | fire=3 | peace=9.5 | stability=8 | growth=2.50 | avgFirePeace=6.25
41. 1989-08-01T13:10 | meditate=false | fire=4.5 | peace=8 | stability=8 | growth=4.95 | avgFirePeace=6.25
42. 1989-08-14T13:10 | meditate=false | fire=2.5 | peace=10 | stability=7 | growth=2.70 | avgFirePeace=6.25
43. 1989-08-15T13:10 | meditate=false | fire=3 | peace=9.5 | stability=8 | growth=2.40 | avgFirePeace=6.25
44. 1990-09-19T13:10 | meditate=true | fire=7.5 | peace=5 | stability=6 | growth=10.50 | avgFirePeace=6.25
45. 1991-12-26T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=6.60 | avgFirePeace=6.25
46. 1992-03-06T13:10 | meditate=true | fire=5.5 | peace=7 | stability=8 | growth=6.00 | avgFirePeace=6.25
47. 1992-03-13T13:10 | meditate=true | fire=6 | peace=6.5 | stability=6 | growth=7.00 | avgFirePeace=6.25
48. 1992-03-23T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.25 | avgFirePeace=6.25
49. 1997-06-12T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=6.00 | avgFirePeace=6.25
50. 1997-09-24T13:10 | meditate=false | fire=6.5 | peace=6 | stability=8 | growth=6.80 | avgFirePeace=6.25
51. 1988-04-23T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.75 | avgFirePeace=6.00
52. 1988-04-24T13:10 | meditate=false | fire=6 | peace=6 | stability=8 | growth=7.70 | avgFirePeace=6.00
53. 1988-05-18T13:10 | meditate=false | fire=5 | peace=7 | stability=7 | growth=5.40 | avgFirePeace=6.00
54. 1988-06-28T13:10 | meditate=true | fire=4.5 | peace=7.5 | stability=8 | growth=4.40 | avgFirePeace=6.00
55. 1988-08-15T13:10 | meditate=false | fire=3.5 | peace=8.5 | stability=7 | growth=3.85 | avgFirePeace=6.00
56. 1988-09-24T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.05 | avgFirePeace=6.00
57. 1989-03-03T13:10 | meditate=true | fire=3 | peace=9 | stability=7 | growth=1.80 | avgFirePeace=6.00
58. 1989-06-13T13:10 | meditate=true | fire=3 | peace=9 | stability=7 | growth=3.00 | avgFirePeace=6.00
59. 1989-07-31T13:10 | meditate=false | fire=3.5 | peace=8.5 | stability=8 | growth=3.60 | avgFirePeace=6.00
60. 1989-10-06T13:10 | meditate=false | fire=4.5 | peace=7.5 | stability=8 | growth=4.95 | avgFirePeace=6.00
61. 1989-10-07T13:10 | meditate=false | fire=5 | peace=7 | stability=8 | growth=6.60 | avgFirePeace=6.00
62. 1990-06-13T13:10 | meditate=true | fire=7 | peace=5 | stability=7 | growth=8.80 | avgFirePeace=6.00
63. 1991-12-15T13:10 | meditate=false | fire=6.5 | peace=5.5 | stability=7 | growth=8.45 | avgFirePeace=6.00
64. 1992-03-05T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.75 | avgFirePeace=6.00
65. 1997-03-03T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.75 | avgFirePeace=6.00
66. 1998-02-11T13:10 | meditate=false | fire=6 | peace=6 | stability=8 | growth=7.20 | avgFirePeace=6.00
67. 1998-02-13T13:10 | meditate=false | fire=4.5 | peace=7.5 | stability=8 | growth=4.95 | avgFirePeace=6.00
68. 1998-03-28T13:10 | meditate=true | fire=6 | peace=6 | stability=8 | growth=6.40 | avgFirePeace=6.00
69. 1998-11-29T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=6.75 | avgFirePeace=6.00
70. 1989-03-04T13:10 | meditate=true | fire=3 | peace=8.5 | stability=7 | growth=2.10 | avgFirePeace=5.75
71. 1989-03-05T13:10 | meditate=true | fire=3 | peace=8.5 | stability=7 | growth=2.10 | avgFirePeace=5.75
72. 1989-06-24T13:10 | meditate=true | fire=2.5 | peace=9 | stability=7 | growth=2.45 | avgFirePeace=5.75
73. 1989-11-03T13:10 | meditate=false | fire=4.5 | peace=7 | stability=8 | growth=4.50 | avgFirePeace=5.75
74. 1989-11-17T13:10 | meditate=false | fire=4.5 | peace=7 | stability=8 | growth=3.85 | avgFirePeace=5.75
75. 1992-03-17T13:10 | meditate=true | fire=5.5 | peace=6 | stability=6 | growth=5.85 | avgFirePeace=5.75
76. 1994-12-06T13:10 | meditate=true | fire=4.5 | peace=7 | stability=6 | growth=4.95 | avgFirePeace=5.75
77. 1997-06-02T13:10 | meditate=true | fire=4.5 | peace=7 | stability=7 | growth=5.20 | avgFirePeace=5.75
78. 1998-03-14T13:10 | meditate=true | fire=6 | peace=5.5 | stability=8 | growth=7.20 | avgFirePeace=5.75
79. 1999-02-01T13:10 | meditate=false | fire=5.5 | peace=6 | stability=8 | growth=6.00 | avgFirePeace=5.75
80. 1988-04-26T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=8 | growth=5.50 | avgFirePeace=5.50
81. 1988-04-29T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=7 | growth=5.85 | avgFirePeace=5.50
82. 1988-09-02T13:10 | meditate=false | fire=3 | peace=8 | stability=7 | growth=3.00 | avgFirePeace=5.50
83. 1989-06-09T13:10 | meditate=false | fire=2 | peace=9 | stability=8 | growth=1.50 | avgFirePeace=5.50
84. 1989-07-02T13:10 | meditate=true | fire=2 | peace=9 | stability=6 | growth=2.10 | avgFirePeace=5.50
85. 1989-08-12T13:10 | meditate=false | fire=2 | peace=9 | stability=8 | growth=2.40 | avgFirePeace=5.50
86. 1989-10-05T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=8 | growth=4.05 | avgFirePeace=5.50
87. 1990-03-15T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=6 | growth=8.45 | avgFirePeace=5.50
88. 1990-06-06T13:10 | meditate=false | fire=5 | peace=6 | stability=7 | growth=5.60 | avgFirePeace=5.50
89. 1990-06-17T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=7 | growth=9.00 | avgFirePeace=5.50
90. 1990-07-29T13:10 | meditate=false | fire=4 | peace=7 | stability=8 | growth=4.80 | avgFirePeace=5.50
91. 1992-09-07T13:10 | meditate=true | fire=5 | peace=6 | stability=7 | growth=6.60 | avgFirePeace=5.50
92. 1993-10-01T13:10 | meditate=true | fire=4.5 | peace=6.5 | stability=8 | growth=5.85 | avgFirePeace=5.50
93. 1997-03-02T13:10 | meditate=false | fire=6 | peace=5 | stability=8 | growth=7.70 | avgFirePeace=5.50
94. 1997-06-13T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=8 | growth=7.60 | avgFirePeace=5.50
95. 1997-06-21T13:10 | meditate=true | fire=5 | peace=6 | stability=7 | growth=5.60 | avgFirePeace=5.50
96. 1997-09-25T13:10 | meditate=false | fire=6 | peace=5 | stability=8 | growth=8.00 | avgFirePeace=5.50
97. 1998-03-16T13:10 | meditate=true | fire=5.5 | peace=5.5 | stability=8 | growth=6.75 | avgFirePeace=5.50
98. 1998-03-29T13:10 | meditate=true | fire=5.5 | peace=5.5 | stability=8 | growth=6.80 | avgFirePeace=5.50
99. 1998-11-12T13:10 | meditate=false | fire=4.5 | peace=6.5 | stability=8 | growth=6.00 | avgFirePeace=5.50
100. 1999-02-02T13:10 | meditate=false | fire=5 | peace=6 | stability=8 | growth=5.60 | avgFirePeace=5.50
101. 1999-02-12T13:10 | meditate=false | fire=5.5 | peace=5.5 | stability=8 | growth=6.50 | avgFirePeace=5.50
102. 1988-03-30T13:10 | meditate=true | fire=7 | peace=3.5 | stability=6 | growth=10.50 | avgFirePeace=5.25
103. 1988-05-12T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.30 | avgFirePeace=5.25
104. 1988-05-13T13:10 | meditate=false | fire=4 | peace=6.5 | stability=6 | growth=5.40 | avgFirePeace=5.25
105. 1988-06-20T13:10 | meditate=false | fire=5.5 | peace=5 | stability=7 | growth=7.15 | avgFirePeace=5.25
106. 1988-09-23T13:10 | meditate=false | fire=4 | peace=6.5 | stability=7 | growth=5.00 | avgFirePeace=5.25
107. 1989-06-08T13:10 | meditate=false | fire=2 | peace=8.5 | stability=8 | growth=1.80 | avgFirePeace=5.25
108. 1989-11-01T13:10 | meditate=false | fire=4 | peace=6.5 | stability=8 | growth=4.40 | avgFirePeace=5.25
109. 1989-12-07T13:10 | meditate=false | fire=5 | peace=5.5 | stability=6 | growth=6.50 | avgFirePeace=5.25
110. 1989-12-13T13:10 | meditate=true | fire=5.5 | peace=5 | stability=8 | growth=6.60 | avgFirePeace=5.25
111. 1990-06-14T13:10 | meditate=true | fire=6 | peace=4.5 | stability=6 | growth=8.40 | avgFirePeace=5.25
112. 1990-09-16T13:10 | meditate=false | fire=7 | peace=3.5 | stability=8 | growth=11.20 | avgFirePeace=5.25
113. 1990-12-04T13:10 | meditate=true | fire=4 | peace=6.5 | stability=8 | growth=5.40 | avgFirePeace=5.25
114. 1991-12-25T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=8.40 | avgFirePeace=5.25
115. 1991-12-27T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=7.80 | avgFirePeace=5.25
116. 1993-01-26T13:10 | meditate=true | fire=6 | peace=4.5 | stability=7 | growth=8.40 | avgFirePeace=5.25
117. 1993-03-14T13:10 | meditate=true | fire=5.5 | peace=5 | stability=7 | growth=8.45 | avgFirePeace=5.25
118. 1993-07-05T13:10 | meditate=true | fire=7 | peace=3.5 | stability=7 | growth=10.50 | avgFirePeace=5.25
119. 1997-09-19T13:10 | meditate=false | fire=6.5 | peace=4 | stability=8 | growth=8.50 | avgFirePeace=5.25
