🧘‍♂️ Top 39 meditative days (stability 8-8, sorted by avgFirePeace desc):

01. 1992-12-04T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
02. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
03. 1998-12-05T13:10 | meditate=true | fire=4.5 | peace=8.5 | stability=8 | growth=4.50 | avgFirePeace=6.50
04. 1991-12-26T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=6.60 | avgFirePeace=6.25
05. 1992-03-06T13:10 | meditate=true | fire=5.5 | peace=7 | stability=8 | growth=6.00 | avgFirePeace=6.25
06. 1992-03-23T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.25 | avgFirePeace=6.25
07. 1997-06-12T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=6.00 | avgFirePeace=6.25
08. 1988-06-28T13:10 | meditate=true | fire=4.5 | peace=7.5 | stability=8 | growth=4.40 | avgFirePeace=6.00
09. 1998-03-28T13:10 | meditate=true | fire=6 | peace=6 | stability=8 | growth=6.40 | avgFirePeace=6.00
10. 1998-03-14T13:10 | meditate=true | fire=6 | peace=5.5 | stability=8 | growth=7.20 | avgFirePeace=5.75
11. 1993-10-01T13:10 | meditate=true | fire=4.5 | peace=6.5 | stability=8 | growth=5.85 | avgFirePeace=5.50
12. 1997-06-13T13:10 | meditate=true | fire=6.5 | peace=4.5 | stability=8 | growth=7.60 | avgFirePeace=5.50
13. 1998-03-16T13:10 | meditate=true | fire=5.5 | peace=5.5 | stability=8 | growth=6.75 | avgFirePeace=5.50
14. 1998-03-29T13:10 | meditate=true | fire=5.5 | peace=5.5 | stability=8 | growth=6.80 | avgFirePeace=5.50
15. 1989-12-13T13:10 | meditate=true | fire=5.5 | peace=5 | stability=8 | growth=6.60 | avgFirePeace=5.25
16. 1990-12-04T13:10 | meditate=true | fire=4 | peace=6.5 | stability=8 | growth=5.40 | avgFirePeace=5.25
17. 1991-12-25T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=8.40 | avgFirePeace=5.25
18. 1991-12-27T13:10 | meditate=true | fire=6 | peace=4.5 | stability=8 | growth=7.80 | avgFirePeace=5.25
19. 1998-06-24T13:10 | meditate=true | fire=4 | peace=6.5 | stability=8 | growth=5.60 | avgFirePeace=5.25
20. 1991-12-24T13:10 | meditate=true | fire=5.5 | peace=4.5 | stability=8 | growth=8.25 | avgFirePeace=5.00
21. 1992-05-18T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=6.60 | avgFirePeace=5.00
22. 1992-12-05T13:10 | meditate=true | fire=4.5 | peace=5.5 | stability=8 | growth=7.15 | avgFirePeace=5.00
23. 1997-06-25T13:10 | meditate=true | fire=6 | peace=4 | stability=8 | growth=8.00 | avgFirePeace=5.00
24. 1998-10-05T13:10 | meditate=true | fire=5 | peace=5 | stability=8 | growth=7.20 | avgFirePeace=5.00
25. 1991-12-28T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
26. 1992-03-26T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.15 | avgFirePeace=4.75
27. 1996-11-07T13:10 | meditate=true | fire=5.5 | peace=4 | stability=8 | growth=7.70 | avgFirePeace=4.75
28. 1998-04-02T13:10 | meditate=true | fire=4.5 | peace=5 | stability=8 | growth=6.50 | avgFirePeace=4.75
29. 1988-12-12T13:10 | meditate=true | fire=4.5 | peace=4.5 | stability=8 | growth=5.85 | avgFirePeace=4.50
30. 1991-12-29T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.80 | avgFirePeace=4.50
31. 1992-03-22T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=6.60 | avgFirePeace=4.50
32. 1993-10-04T13:10 | meditate=true | fire=4 | peace=5 | stability=8 | growth=6.30 | avgFirePeace=4.50
33. 1997-02-20T13:10 | meditate=true | fire=4 | peace=5 | stability=8 | growth=6.40 | avgFirePeace=4.50
34. 1998-03-27T13:10 | meditate=true | fire=5 | peace=4 | stability=8 | growth=7.20 | avgFirePeace=4.50
35. 1989-04-01T13:10 | meditate=true | fire=4 | peace=4.5 | stability=8 | growth=5.40 | avgFirePeace=4.25
36. 1992-05-22T13:10 | meditate=true | fire=4 | peace=4.5 | stability=8 | growth=7.20 | avgFirePeace=4.25
37. 1996-03-01T13:10 | meditate=true | fire=4 | peace=4.5 | stability=8 | growth=6.60 | avgFirePeace=4.25
38. 1998-06-12T13:10 | meditate=true | fire=4.5 | peace=4 | stability=8 | growth=6.75 | avgFirePeace=4.25
39. 1998-06-13T13:10 | meditate=true | fire=4.5 | peace=4 | stability=8 | growth=6.75 | avgFirePeace=4.25
