🧘‍♂️ Top 1000 meditative days (stability 6–8, highest (fire+peace)/2):

01. 1988-06-24T13:10 | meditate=false | fire=6.5 | peace=9 | stability=8 | growth=5.25 | avgFirePeace=7.75
02. 1992-03-14T13:10 | meditate=true | fire=6 | peace=9.5 | stability=6 | growth=5.60 | avgFirePeace=7.75
03. 1992-03-16T13:10 | meditate=true | fire=5.5 | peace=10 | stability=6 | growth=4.55 | avgFirePeace=7.75
04. 1988-04-28T13:10 | meditate=false | fire=6.5 | peace=8.5 | stability=7 | growth=5.95 | avgFirePeace=7.50
05. 1988-05-16T13:10 | meditate=false | fire=5 | peace=10 | stability=6 | growth=4.20 | avgFirePeace=7.50
06. 1988-05-19T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
07. 1989-11-16T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
08. 1988-05-20T13:10 | meditate=false | fire=5.5 | peace=9 | stability=8 | growth=4.55 | avgFirePeace=7.25
09. 1988-05-15T13:10 | meditate=false | fire=6 | peace=8 | stability=7 | growth=6.30 | avgFirePeace=7.00
10. 1989-06-06T13:10 | meditate=false | fire=2.5 | peace=11.5 | stability=6 | growth=0.75 | avgFirePeace=7.00
11. 1989-06-07T13:10 | meditate=false | fire=2.5 | peace=11.5 | stability=7 | growth=0.75 | avgFirePeace=7.00
12. 1990-09-05T13:10 | meditate=false | fire=6.5 | peace=7.5 | stability=7 | growth=7.15 | avgFirePeace=7.00
13. 1990-06-07T13:10 | meditate=false | fire=6.5 | peace=7 | stability=7 | growth=6.80 | avgFirePeace=6.75
14. 1991-12-08T13:10 | meditate=false | fire=6.5 | peace=7 | stability=8 | growth=6.75 | avgFirePeace=6.75
15. 1991-12-09T13:10 | meditate=false | fire=7 | peace=6.5 | stability=8 | growth=7.70 | avgFirePeace=6.75
16. 1992-03-15T13:10 | meditate=true | fire=5.5 | peace=8 | stability=6 | growth=6.00 | avgFirePeace=6.75
17. 1992-09-08T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
18. 1992-12-04T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
19. 1988-04-25T13:10 | meditate=false | fire=6 | peace=7 | stability=8 | growth=6.40 | avgFirePeace=6.50
20. 1988-05-17T13:10 | meditate=false | fire=4.5 | peace=8.5 | stability=7 | growth=4.40 | avgFirePeace=6.50
21. 1988-08-18T13:10 | meditate=false | fire=4 | peace=9 | stability=8 | growth=3.60 | avgFirePeace=6.50
22. 1988-08-29T13:10 | meditate=false | fire=5 | peace=8 | stability=7 | growth=5.40 | avgFirePeace=6.50
23. 1988-10-01T13:10 | meditate=true | fire=4 | peace=9 | stability=7 | growth=3.50 | avgFirePeace=6.50
24. 1989-06-10T13:10 | meditate=false | fire=3 | peace=10 | stability=8 | growth=2.00 | avgFirePeace=6.50
25. 1989-08-13T13:10 | meditate=false | fire=2.5 | peace=10.5 | stability=7 | growth=2.25 | avgFirePeace=6.50
26. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
27. 1992-06-08T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=8 | growth=7.15 | avgFirePeace=6.50
28. 1988-06-23T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=5.50 | avgFirePeace=6.25
29. 1988-07-01T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=4.80 | avgFirePeace=6.25
30. 1988-08-20T13:10 | meditate=false | fire=3 | peace=9.5 | stability=8 | growth=2.50 | avgFirePeace=6.25
31. 1989-08-01T13:10 | meditate=false | fire=4.5 | peace=8 | stability=8 | growth=4.95 | avgFirePeace=6.25
